drug,approved,odds_ratio,pvalue,adj_pvalue,pvalue_up,adj_pvalue_up,pvalue_down,adj_pvalue_down,count_significant,count_insignificant,count_up_significant
finasteride,True,0.590034563007845,0.9536473745951168,1,0.030550130621132026,0.602522879599936,0.9999999999995561,1,5,441,5
LGX-818,True,0.5769592183181204,0.9593390693103825,1,0.03056546102905066,0.602522879599936,1.0000000000004698,1,5,451,5
alpelisib,True,0.5548272131532126,0.9679960524245043,1,0.030591427532588283,0.602522879599936,0.9999999999990612,1,5,469,5
valdecoxib,True,0.4864060468590863,0.9871608098988867,1,0.03067184212438756,0.602522879599936,1.0000000000011253,1,5,535,5
lamotrigine,True,0.47748352996463517,0.9888691057116076,1,0.03068234416572842,0.602522879599936,0.9999999999999845,1,5,545,5
celecoxib,True,0.4479034301037188,0.9933989396391205,1,0.03071718637754703,0.602522879599936,0.9999999999994865,1,5,581,5
estradiol-cypionate,True,0.43590086796582583,0.9947878134448968,1,0.030731335364797534,0.602522879599936,0.9999999999998728,1,5,597,5
verapamil,True,0.3985202794560375,0.9977595626178721,1,0.030775442387888544,0.602522879599936,0.9999999999993092,1,5,653,5
isradipine,True,0.390155147757686,0.9981930149095058,1,0.0307853214197544,0.602522879599936,1.0000000000002782,1,5,667,5
gemcitabine,True,0.31465595307666455,0.9998588284475239,1,0.030874627485296662,0.602522879599936,0.99999999999999,1,5,827,5
thalidomide,True,0.3079504324964423,0.9998949949554408,1,0.030882571759557657,0.602522879599936,1.0000000000006468,1,5,845,5
azathioprine,True,0.29469160745430617,0.9999440749232026,1,0.030898285976296947,0.602522879599936,0.9999999999991978,1,5,883,5
lopinavir,True,0.2900897979828573,0.9999557344572255,1,0.030903741856433204,0.602522879599936,0.9999999999992871,1,5,897,5
digoxin,True,0.2831415053784486,0.999969397088027,1,0.03091198153592821,0.602522879599936,1.0000000000003826,1,5,919,5
gatifloxacin,True,0.2806965781106391,0.9999732630577043,1,0.030914881390797698,0.602522879599936,1.0000000000009577,1,5,927,5
moxifloxacin,True,0.27418546256291404,0.9999815716422302,1,0.030922605353840928,0.602522879599936,0.9999999999993906,1,5,949,5
GDC-0199,True,0.23333611227949086,0.9999989812970975,1,0.03097110782021969,0.602522879599936,0.9999999999989023,1,5,1115,5
dabrafenib,True,0.20025245040158463,0.999999998695314,1,0.031010445356706894,0.602522879599936,1.0000000000009293,1,5,1299,5
erlotinib,True,0.11483199936118109,1.000000007133021,1,0.031112243914227396,0.602522879599936,0.9999999999989906,1,5,2263,5
miconazole,True,0,1,1,1,1,1,1,1,321,1
zaleplon,True,0,1,1,1,1,1,1,4,470,4
disopyramide,True,0,1,1,1,1,1,1,1,291,1
trimipramine,True,0,1,1,1,1,1,1,1,307,1
